,청원시작일,청원종료일,참여인원,카테고리,제목,청원내용
154986,2018-04-06,2018-05-06,242286,경제민주화,삼성증권 시스템 규제와 공매도 금지,우리사주 280만주에 배당 주당 1000원 하기로 하고 현금배당 28억원이 나가야될게 28억주가 배당으로 나갔습니다.\n이 과정에서 일부직원들이 501만주를 매도 하였고 일부 회수 하였답니다.\n그런데 말입니다. 삼성증권 주식 총발행주식은 8930만주 이며 발행한도는 1억2000만주 인데 28억주가 배당이 되고 그기에 501만주가 유통이 되었다.\n회사에서 없는 주식을 배당하고 그 없는 주식이 유통될수 있는 시스템이다. 이렇다면 공매도는 대차 없이 주식도 없이 그냥 팔수 있다는 있다는 이야기가 됩니다.\n증권사는 마음만 먹으면 언제나 주식을 찍어내고 팔수 있다는 이야기가 됩니다. 이건 사기 아닌가요? 금강원은 이런일 감시 하라고 있는곳 아닌가요? 짜고 치는 고스톱인가? 요 ?\n서민만 당하는 공매도 꼭 폐지 해 주시고 이번 계기로 증권사의 대대적인 조사 와 조치 바랍니다.
155255,2018-04-07,2018-05-07,16283,정치개혁,이재명 전시장 지지자의 악의적 sns활동의 당과 청와대의 진상규명을 요구합니다.,"6월 지방선거를 앞두고 경기도지사 출마를 앞둔 예비후보들의 동향들이 중요해진 이 때에\n이재명 도지사 예비후보를 지지하는 세력인\n“손가혁”이나 이재명후보의 측근일지도 모르는\n@08_hkkim계정을 사용했던 사람이 이재명후보와 악의적인 대화를 주고받으며 타 후보의 비방을 떠나\n현 정부의 대통령, 나아가서 노무현 전대통령까지도 비방하고 음해하는 일이 발생하여 민주당원들 사이에 큰 내분으로까지 확대되었습니다.\n또한 논란이 불거지자 아떠힌 해명도 없이 계정을 삭제해버려 진상규명의 목소리가 더 커지고 있습니다.\n이에 같은 당의 전해철 예비후보는 이재명 예비후보와 함께 공동으로 계정의 실체를 규명하자는 제안을 하였으나 이재명 후보측에서는 어떠한 응답도 하지 않고 있는 상태입니다.\n아직 제대로된 선거 운동도 이루어 지지 않은 상태에서\n민주당은 당내 네거티브와 음해성 글들이 난무한 지금의 상황을 정리하지 않으면 안될 것입니다.\n또 원색적으로 현 정권의 대통령과 이미 작고하신 대통령을 비방하고 음해하는 이 계정에 대해서\n당차원 뿐 아니라 청와대 측에서도 확인하시고 고발, 고소등으로 이 계정의 진원지를 규명해 주시길 부탁드립니다."
155869,2018-04-08,2018-05-08,17748,문화/예술/체육/언론,故노진규 선수 수술을 막은 한체대 전명규 교수의 파면을 청원합니다,故노진규 선수가 종양이 있음에도 스케이트 출전을 요구한 한체대 전명규 교수의 파면을 요청합니다.\n국립대 교수가 본인의 영달을 위해 선수의 생명을 내다 버렸습니다.\n이런 사람에게 국민의 세금이 들어갈수 없습니다.\n한체대 교수이자 빙상연맹 부회장인 전명규 교수의 교수직 파면을 요청하는 바입니다.
156928,2018-04-08,2018-05-08,13683,경제민주화,정부는 금융적폐청산에 내일 당장 나서 주세요,"삼성증권의 112조원 위조증권 발행으로 대한민국 증권시장은 이미 죽었습니다.\n일개 증권사가 예탁결제원을 통한 정상적인 주식발행 절차를 무시하고 112조원이라는 천문학적 주식을 만들어 시장에 유통시키는 것이 가능한 현실에서 대한민국 주식시장은 이미 죽은 것이나 다름없습니다.\n금융감독원과 국가는 내일 당장 모든 주식의 주주명부를 폐쇄하고, 현재 돌아다니는 위조증권들을 색출해야 합니다.\n그리고, 위조증권들을 발행한 증권사들을 찾아내고 위조증권을 발행하도록 사주한 증권사범들을 특정경제범죄가중처벌법으로 중벌에 처해야 합니다.\n어차피 내일 증권시장을 열더라도 투자자들은 이제 우리나라 증권시장을 믿지 않을 것입니다.\n이런 상황이 외국에 알려질 테고, 이런 환경이 지속되면 외국 투자자들로부터 천문학적인 줄소송을 당할 수도 있습니다.\n사태를 더 심각하게 만들기 전에 먼저 이번 사태의 본질을 정확히 인식하고 문제 해결에 나서야 합니다.\n오늘 삼성증권 대표이사라는 사람이 사과문을 발표하면서 담당직원을 엄벌하겠다고 합니다.\n그리고, 금융감독원에서는 시스템이 문제 없는 지 점검하겠다고 합니다.\n문제를 만든 증권사와 문제를 방조한 금융감독 기관들의 문제인식이 어떠한 지를 잘 보여주는 단면이 됩니다.\n증권사 대표라는 사람이 이번 사태가 위조증권을 발행한 것에서 문제가 비롯됨을 감추려 하고,\n금융감독 기관이 이 위중한 사태를 시스템 점검 정도로 인식하는 안일함을 보이는 이상, 국가는 이들에게 이 문제 해결을 더 이상 맡겨서는 안됩니다.\n어떻게 이 엄청난 국기문란 사태를 이렇게 안일하게 인식한다는 말인가요?\n금융감독원이 지금 해야 할 일은 시스템 점검이 아니라, 당장 삼성증권을 영업정지 시키고, 압수수색하도록 검찰에 고발하는 일입니다.\n그리고, 그 동안 이런 시스템하에서 얼마나 불법을 저질러 왔는 지 정밀 감사를 벌여야 합니다.\n먼저 삼성증권을 감사하고 나머지 증권사들에 대해서도 모두 조사해야 합니다.\n시스템 점검이 아니라 지금 당장 주주명부를 폐쇄하고 위조증권을 찾아내야 합니다.\n그리고 그 위조증권을 발행한 주체를 중벌하고 모든 투자주체들이 신뢰할 수 있는 새롭고 공정한 증권거래시스템을 만들어야 합니다.\n이 과정은 제3기관과 외부전문가 집단을 통해 공정하게 공동 검증되어야 합니다.\n대한민국정부는 지금 이 위중한 사태에 20만명 동의를 기다리고 있는 것이 부끄럽지 않은가요?\n각 정당들과 위정자들은 이 사태의 중차대함을 정녕 모르고 있다는 말인가요?\n어떻게 이 사태에 대해 문제가 발생한 지 3일이 지나도록 말 한마디가 없단 말인가요?\n대한민국정부는 내일 당장 국가지휘로 이 문제해결에 나서야 합니다.\n위조증권이 남발하고 있는 것으로 믿어지는 증권시장을 한 시라도 더 방치해서는 안 됩니다.\n정부와 각 정당대표들, 시민단체들은 모두 정신차려야 합니다.\n대한민국의 금융신뢰도가 땅에 떨어지면 나라가 흔들릴 일이 벌어질 것입니다.\n미국 금리 인상으로 외국자본이 빠져나갈 것은 대책회의를 긴급하게 세우면서,\n이 엄청난 금융난맥상에 대해 어찌 이리도 태평할 수 있단 말입니까?\n투자자의 한 사람으로서 절망하고 있습니다.\n가장 빠른 최선의 조치를 위해,\n정부는 금융감독원에 내일 당장 공문을 내려 공매도부터 무조건 전면적으로 금지시켜 주세요.\n문제해결이 될 때까지 무조건 이 망국적 공매도를 금지시켜야 합니다.\n그리고, 주주명부를 폐쇄하고 위조증권들을 찾아내야 합니다.\n정부는 이 문제의 심각성을 통찰해 주시길 바랍니다."
157976,2018-04-10,2018-05-10,13281,반려동물,도와주세요. 저희 개가 이웃에게 처참히 죽임을 당했습니다.,"3월4일 일요일 오후5시44분이 자택에 설치되어있던 CCTV속의 모습이 마지막이 되어 버렸습니다.\n오후6시3분 아무리 불러도 오지 않아, 오후6시11분에 온 마을을 돌아다니며 ""꿀이""라고 외쳐보았지만 돌아오지 않았습니다.\n다음날 바로 사례금50만원이 적힌 전단지와 현수막을 제작하여 설치하고 마을주민과 인근주민에게 배포하고 유기견사이트공고 카페공고 체취가 담긴 옷 모든 수단을 동원해도 전혀 소식이 없어 누군가 좋은 분이 데리고 가셔서 키워주시는 걸꺼야 하며 최면을 걸었습니다.\n마음이 초조해져 사례금을 더 올리면 좋겠다는 조언을 듣고 100만원으로 올려보았지만, 역시나 연락이 없었습니다.\n그러던 4월9일 오늘 한 주민분의 제보를 받았습니다.\n그 아이는 지금 이 세상에 없다고 누가 잡아먹었다고 세상이 무너지는 것 같았습니다.\n그 범인은 바로 아랫집에 살고 있는 믿었던 이웃이였고, 제가 전단지를 주었던 3월5일 오전9시에도 살아 있었는데, 그렇게 애타게 애절하게 찾으면 연락을 달라고 그렇게 부탁 하였는데 얼굴색 하나 변하지 않고 자기는 보지 못했다고 보면 연락을 주겠다던 이웃주민이였습니다. 그 다음날 저희 부모님께서 너무 힘들어 하며 찾아서 약주도 같이 하셨고, 그 다음날은 뻔뻔하게 와서는 농사를 지어야하니 거름까지 뿌려달라며 요청을 하여 저희 아버지 께서 해주셨다고 합니다.\n네.. 그렇게나 가까운 이웃사이입니다...\n그 사람은 그 개가 저희 집 개인것도 알았습니다. 저희집에 왔을때 강아지 시절부터 봤고 제가 산책시키는 것도 종종 봤으니까요..근데 먹이까지 줘서 유인하여 저희 개를 목을 매달아 죽이고 여러사람과 나누어 먹었습니다. 심지어 저희 아버지에게 먹으러 오라고 까지 했다고 합니다.\n저희 아버지는 드시지 않기 때문에 거절하셨지만\n저희 개 인것을 알고 죽였으면서 그걸 먹으러 오라는 것이 정녕 사람이 할 수 있는 일인건지. 악마 같습니다.\n너무 무섭고 괴롭습니다. 제가 찾았던 일요일 저녁에 그 어두운 창고안에서 저희 가족을 얼마나 애타게 기다렸을까요.\n설마 믿은 이웃이 나쁜짓을 하지 않았겠지 라는 믿음?혹은 안일한생각? 때문에 그 사람의 집을 더 찾아 보지 못한게... 너무 한이 됩니다...\n목이 매 있는 순간 얼마나 고통스럽고 무서웠을까요... 아무것도 모르는 그 아이를 죽이고 다 함께 나누어 먹고 그냥 지나가기에는 은폐하기에는 이웃이라는 이유로 그냥 넘어가기에는 힘들것같습니다.\n너무 무섭고 끔찍합니다.\n현재는 증인을 확보하고 경찰신고를 하여 저희집에서 진술서를 작성 한 상태입니다. 다행히도 경찰관분들께서 개를 참 이뻐하시는 분들이고 반려견을 키우시는 분들이라서 진술서작성하는 법과 사건조사에도 적극적으로 임해주셨습니다.\n저는 이 사건에 대하여 이슈화시키고 이런 일이 더이상 일어나지 않게 공론화하고 싶습니다.\n눈물이 나지 않을 만큼 꿈 같습니다.\n아직도 우리에게 와서 엉덩이를 흔들고 올 것 만 같습니다.\n저도 모든 것을 내려 놓고 싶지만, 우리 죄없는 꿀이 억울 한 것 조금이나마 풀어주고 싶습니다.\n뼈는 어디에 버렸는지 뼈 한점 찾지 못했습니다.\n간절하게 호소드립니다.\n더이상 이런 피해가 발생하지 않게 도와주세요. 힘을주세요.  동물보호법은 강화 되어야 합니다.\n그리고 마땅히 죄를 지은 자는 벌을 받아야 합니다.\n도움 주시는 모든 분들께 고개숙여 감사드립니다.\n* 아고라 청원도 한번씩 부탁드리겠습니다.\n도와주세요.저희개가 이웃에게 처참히 죽임을 당했습니다. – Daum 아고라 - http://m.bbs3.agora.media.daum.net/gaia/do/mobile/petition/read?articleStatus=S&cPageIndex=1&bbsId=P001&cSortKey=depth&articleId=214386#none"
158094,2018-04-10,2018-05-10,110641,경제민주화,김기식 금감원장님을 무슨일이 있어도 지켜주세요!!,"최근에 터진 삼성증권 사태 및 금융적폐를 뿌리뽑을 수 있는 유일한 분입니다.\n하지만, 분명히 청와대에서 ""자리를 내려놓을만큼 큰 문제가 아니다""라고 말을 했는데도 불구하고, 최근에 야당 및 각종 언론에서 김기식 금감원장님을 끌어내리기 위해서 온갖 소문을 퍼뜨리고 있습니다.\n지금 우리나라에서 중차대한 문제는 삼성증권 사태 입니다.\n없는 주식 28억주를 만들어서 장중에 500만주가 거래가 되어버린 있을수 없는 일이 일어났는데, 금융당국, 야당 및 언론에서 이 문제는 전혀 다루지 않고 오직 김기식 금감원장님을 끌어내리는 일에만 혈안이 되어 있습니다.\n이 말은 금감원장님을 끌어내려야 본인들이 살 수 있다라고 밖에 생각할 수가 없습니다.\n네이버 검색 순위에서도 삼성증권 사태 관련 내용은 눈씻고 찾아봐도 찾을 수가 없습니다.\n제발 금감원장님을 꼭 지켜주셔서 이번정권에서 금융적폐를 꼭 뿌리 뽑을 수 있도록 도와주세요!!"
158445,2018-04-10,2018-05-10,24979,기타,<<불합리한 식품위생법 개정과 청소년 음주 관용에 대한 청소년 보호법 개정을 위한 국민청원>>,"<<불합리한 식품위생법 개정과 청소년 음주 관용에 대한 청소년 보호법 개정을 위한 국민청원>>\n저는 조그마한 술집을 운영하는 그남자의 부인이자 아빠와 함께 주점 일을 하는 지호의 엄마입니다.\n지호는 주방에 있는 아빠를 도와 혼자 홀 서빙을 합니다.\n손님이 없을 때는 너무 없지만 바쁠 때는 지호 혼자 감당하기엔 벅찰 정도로 손님이 오기도 하는 그런 평범한 가게에서 아버지와 지호는 가정을 위해서 묵묵히 일을 하는 사람들입니다.\n그렇게 평범한 가게에서 평범한 꿈을 꾸며 사는 우리 가정에 커다란 사건이 생겼습니다.\n2017년 추석 전전날이었습니다.\n그날은 명절 전 대목으로 엄청 바빴지만 늘어가는 매상에 기분 좋게 일하고 늦은 밤 마무리 단계에서 술병을 정리하고 있는데 마지막 남은 두 테이블의 손님들끼리 싸움이 벌어졌습니다.\n기물파손까지 생겨난 싸움을 뜯어말리고 경찰에 신고를 하려는데 손님중 하나가 미성년자인데 신고하겠냐고 협박 아닌 협박을 해왔습니다.\n홀을 혼자 감당하는 지호는 미성년자를 걸러내는데 항상 신경 쓰면서 일을 합니다.\n하지만 철저히 걸러낸다고 온 신경을 쓰며 일하지만 아차 하는 한순간 숨어드는 미성년자는 손쓸 새도 없었던 것입니다.\n결과를 말씀드리자면 청소년의 협박에 굴하지 않고 지호 아빠는 신고를 했고, 그에 대한 대가는 하루 평균 매상이 50만원도 안 되는 지호네 가게에 690만원의 벌금형이 처해졌고 청소년법을 악용한 미성년자들은 그날로 훈방조치 되었다는 것입니다.\n지호아빠는 딱히 갈 곳 없는 청소년들을 위한, 청소년들만 어울릴 수 있는 밥집만 십여년 운영하고 청소년들을 위한 문화행사도 주최한 ‘그남자’로 유명합니다.\n성남에서 1990년대 후반부터 2010년까지 청소년기를 보낸 사람들에게 ‘그남자’아저씨를 모르면 이상할 정도로 말입니다.\n그런 ‘그남자’가 주점을 운영하면서 청소년에게 당한 것입니다.\n얼마나 아이러니한 일인지 모르겠습니다.\n이번 일을 계기로 청소년보호법을 악용하는 청소년이 많다는 것과 그것으로 억울하게 당하는 자영업자들이 생각보다 많은걸 알게 되었고, 자영업자에게 내려지는 가혹한 처벌에 수많은 자영업자들이 휘청이고 심하게는 가정까지 붕괴될 수 있음을 알게 되었습니다.\n한번 걸리는 것만으로도 벌금이 어마무시하고 두번째는 영업정지 3개월, 세번이면 강제 영업장 폐쇄입니다.\n이걸 알고도 미성년자에게 술 팔고 싶은 자영업자가 있을거라 생각하는지요?\n신분증을 위조하기도 하고 성인먼저 들여보낸 후 나중에 슬쩍 합류하기도 하면서 계산할때는 미성년자라며 협박을 하거나 경찰에 자진신고를 해서 빠져나가는 수법을 씁니다.\n그리고는 우리에게는 가해자인 청소년들이 청소년이라는 이유만으로 훈방조치 됩니다.\n이게 과연 옳은 일인지 법조인을 비롯해 정치인과 국민들에게 묻고 싶습니다.\n그래서 이 이야기를 영화로 만들었습니다..\n9분여의 독립영화이고 식품위생법과 음주에 관한 청소년보호법의 개정이 목적인 국민청원을 위해 만들었습니다.\n억울함에 무너지는 자영업자들이 더 이상 쓰러지지 않기를 바라는 국민청원입니다!\n자영업자가 받아야하는 고통만큼 법을 악용하는 미성년자에게 봉사명령이라도 합당하게 내려지기를 바라는 청원입니다!\n바르게 성장하는 청소년을 보호하기 위해서라도 청소년법의 개정이 시급합니다!\n부디 영화를 꼭 봐주시고 국민청원에 동의하여 주시기를 간절히 부탁드립니다.\n2018년 봄, 성남에서 지호엄마가."
158967,2018-04-11,2018-05-11,79200,안전/환경,성범죄로부터 아동이 안전한 나라를 만드는 국민개정안,"우리나라는 아동이 안전한 나라일까요? 아마 많은 부분에서 안전하지 않을 것이라고 생각되지만 그래도 이 부분만은 아니었으면 하고 생각되는 것은 다름 아닌 성범죄일 것입니다. 그런데 안타깝게도 현실은 그렇지 않습니다. 우리나라에서 한 해 9,025명의 아동이 성범죄 피해를 당합니다. 하루에 무려 25명입니다(대검찰청, 2016).\n아동을 보호하기 위해 만들어진 ‘아동•청소년의 성보호에 관한 법률’이 있다지만 왜 갈수록 아동 성범죄는 늘어나는지, 이 법률이 정말 아이들을 지켜주고 있는지 알아보기 위해 현행법과 아동 성범죄의 실태를 연구하였고 그 결과 몇 가지 부분에서 의구심을 품지 않을 수 없었습니다.\n왜 아동 성범죄자의 45.5%가 집행유예로 풀려나는데도(법원행정처, 2017), 아동 강간죄의 형량을 올리지 않는지? 왜 술에 취했다는 이유로 처벌을 줄여주는 주취감형을 완전히 폐지하지 않는지? 왜 피해 아동이 법정에서 원활히 진술할 수 있도록 도와주지 않는지? 그리고 왜 가해자와 피해 아동이 한 마을에서 또 다시 마주치도록 하는지? 이 모든 것들이 국민 눈높이로는 아동을 충분히 보호하고 있지 못하다고 느꼈습니다.\n우리는 국민들께 아동이 성범죄로부터 안전한 나라를 만들기 위해 어떤 법이 필요하다고 생각하시는지 여쭈었습니다. 그리고 그 내용을 취합하여 지난 3개월간 국민위원님들께서 아이들을 정말 지켜줄 수 있는 법으로 바꾸기 위해 입법연구를 수행하였습니다. 그 결과 아동안전위원회가 개정하고자 하는 ‘아동·청소년의 성보호에 관한 법률’은 다음 4가지입니다.\n첫째, 제7조(아동·청소년에 대한 강간·강제추행 등) ① 폭행 또는 협박으로 아동·청소년을 강간한 사람은 무기징역 또는 『5년 이상』 의 유기징역에 처한다를 『7년 이상』 의 유기징역에 처한다로 올리는 것입니다. 집행유예란 3년 이하 징역을 선고할 경우 정상에 참작할 만한 사유가 있는 때에 형의 집행을 유예하여 풀어주는 것인데, 문제는 법원이 선고하는 형량이 검사가 구형한 형량의 절반까지 줄어들 수 있다는 점입니다. 그렇기 때문에 5년이나 6년으로 구형한다 하더라도 절반으로 줄면 3년 이하가 되어 집행유예로 풀려날 여지가 있는 것입니다. 그런데 아동 강간범이 감옥에 가지도 않고 바로 풀려나는 것은 국민의 법 감수성으로는 도저히 받아들일 수 없는 것입니다. 따라서 우리는 아동을 강간한 자에게는 7년 이상의 유기징역을 구형하여 절반이 감형된다 하더라도 3.5년이 되어 집행유예로 풀려나는 것을 막자고 주장하는 바입니다.\n둘째, 제19조 「형법」상 감경규정에 관한 특례) 음주 또는 약물로 인한 심신장애 상태에서 아동·청소년대상 성폭력범죄를 범한 때에는 「형법」 제10조제1항·제2항 및 제11조를 『적용하지 아니할 수 있다』 를 『적용하지 아니한다』 로 바꾸는 것입니다. 조두순 사건 이후 성범죄의 경우 주취감형을 “적용하지 아니할 수 있다”고 되었지만, 왜 “아니한다”는 못 되는 것일까요? 이미 중국이나 미국, 영국의 경우 주취는 감형의 사유가 될 수 없다는 원칙이 확고합니다. 범죄를 저지를 의도로 술을 마셨든, 술에 취해서 아동을 성폭행했든 술은 어떠한 경우에도 절대로 감형의 이유가 되어서는 안 됩니다.\n셋째, 제25조(수사 및 재판 절차에서의 배려)에서 『③ 수사기관과 법원은 아동·청소년대상 성범죄를 당한 피해자의 원활한 조사와 심리를 위하여 진술조력인으로 하여금 조사과정에 참여하여 의사소통을 중개하거나 보조하게 할 수 있다. 다만, 피해자 또는 그 법정대리인이 이를 원하지 아니하는 의사를 표시한 경우에는 그러하지 아니하다』 를 신설하였습니다. 성범죄 판결에서는 피해자의 진술이 매우 중요합니다. 그런데 아동의 경우 어려운 법률용어와 심리적 부담 때문에 제대로 진술하지 못하는 경우가 많습니다. 그래서 아동의 원활한 진술을 돕기 위한 진술조력인 제도가 있으나, 현행법은 만 13세 미만이고 검사가 필요하다고 판단할 때만 지원됩니다. 그러면 만 14세가 되면 오로지 혼자서 진술해야만 하는 건가요? 우리는 아동 누구나 진술조력인의 도움을 받을 수 있어서, 혹시라도 진술을 제대로 하지 못하여 부당한 판결을 받는 경우가 더 이상 없어야 한다고 주장합니다.\n넷째, 제41조(피해아동·청소년 등을 위한 조치의 청구) 3. 피해를 받은 아동·청소년의 주거, 학교 등으로부터 『100미터』 이내에 가해자 또는 가해자의 대리인의 접근을 금지하는 조치를 『500미터』 로 확대하였습니다. 성범죄 피해 아동의 2차 피해를 예방하기 위해 접근금지명령을 내리는 것인데, 100미터는 가해자와 피해 아동의 최소한의 생활권 분리조차 되지 않는 거리입니다. 한 마을에 살면서 편의점에서, 문방구에서, 버스정류장 등에서 늘 마주칠 수밖에 없는 거리입니다. 가해자와 피해 아동이 서로의 얼굴을 쳐다볼 수 있는 거리입니다. 우리는 최소한 500미터 이상의 접근금지명령이 내려져야만 생활권이 분리되어 피해 아동을 2차 피해로부터 보호할 수 있다고 생각합니다. 또한 이 기준은 성범죄 빈도가 가장 많은 지역이 학교 앞 반경 500m 이내로 무려 36%에 달한다는 국가청소년위원회의 분석 결과를 참고한 것이기도 합니다.\n아동안전위원회는 상기 개정안을 청와대에 국민청원 하고자 합니다. 약 300분의 국민들께서 소중히 제안해주신 내용을 자발적으로 참여한 국민위원들께서 3개월 간 입법연구를 수행하여 완성한 개정안입니다. 우리는 국민이 직접 법률을 제안하고 그것이 실제 법으로 만들어지는 것이 국민청원의 본 취지에도 부합하며, 국민개헌안에 명시된 국민발안제를 실현하는 것이라 믿습니다.\n국민 여러분! 우리가 아동에게 줄 수 있는 가장 소중한 선물은 안전한 나라입니다. 당신의 동의로 5월 어린이날을 맞아 ‘아동이 성범죄로부터 안전한 나라’를 선물해 주십시오.\n고맙습니다.\n- 아동안전위원회 -\n고말숙, 곽민주, 권윤경, 김기태, 김민영, 김성일, 김은주, 김주환, 김참, 김채원, 김햇살, 백현빈, 손경이, 손수연, 신동해, 신택식, 안희철, 이다혜, 이제복, 임호, 전진희, 정순호, 조은경, 지유현, 진솔, 차신영, 최종윤"
159795,2018-04-12,2018-05-12,28729,반려동물,유튜브 고양이 학대범 강력처벌,"최근 유튜브에서 한 유튜버가 고양이를 학대하는 영상을찍어 올렸습니다. 이런 범죄를 지켜만보아서는 안됩니다. 꼭 강력처벌 해주세요\n<고양이 학대사건의 제보를 기다립니다 - 사례금 50만원>\n* 영상에 충격적인 내용이 담겨있으니\n시청에 각별히 유의하시기 바랍니다.\n단체로 방금 들어온 고양이 학대 건입니다.\n유튜브 '무궁화' 라는 계정을 가진 이가\n'캐츠패치' 계정에 댓글로 본 영상의\n링크를 남겼다고 합니다.\n찾아가 보니 본 영상 이외에도 4건의 영상이\n더 올라와있으며 4건 모두 고양이를 장난감 다루듯이\n괴롭히는 학대장면이 담겨있었습니다.\n저희 단체는 오늘 송파경찰서에 해당 사건을\n고발처리 할 예정이며 추가적인 증거자료\n수집을 위해 여러분들의 제보를 기다립니다.\n영상에 나오는 집안 내부, 목소리, 고양이 모습 등을\n아시는 분은 저희 단체로 제보부탁드립니다.\n(02-488-5788, kapcaseoul@gmail.com)\n그리고 결정적인 제보를 해주시는 분께는\n사례금 50만원을 지급해드릴 예정입니다.\n현재 아이 상황이 매우 긴박한 것 같습니다.\n여러분들의 많은 도움 부탁드립니다.\np.s. 본 내용을 무한 공유 부탁드립니다.\n대통령님 꼭 동물학대 처벌 수위 높혀주세요"
160122,2018-04-12,2018-05-12,14455,기타,대한항공 조현민 전무의 갑질을 엄중 처벌해야합니다.,"대한항공 조현민의 갑질을 엄중 처벌해야합니다.\n지난번 땅콩회항 사건 당시 조현아의 갑질에 솜방망이 처벌을 했더니\n이번에는 그 동생이 또다시 직장에서 갑질을 했습니다.\n광고대행사 직원에게 음료수가 들어있는 유리병을 집어던졌는데 유리병이 깨지지 않아서\n분이 안풀리자 물을 뿌렸다는데 물을 뿌리는 행위는 이미 2015년 재판에서 폭행죄로 처벌받은 전례가 있는\n범죄입니다.\n또한 이것은 단순한 폭행죄가 아니라 기업 사주 일가의 상대 업체에 대한 갑질로도 볼수 있습니다.\n2018년 현재에도 기업 사주 일가의 직원, 또는 하청업체, 협력업체애 대한 갑질은 하나도 변한 것이 없습니다.\n대한민국 기업들의 갑질에 경종을 울리기 위해서라도 엄한 처벌이 있어야 된다고 생각합니다.\n게다가 대한항공은 하나도 변한 것이 없습니다. 땅콩회항 당시의 피해자인 박창진 사무장은 직장 내에서의\n대놓고 구박, 견제에 의해 종양이 생겨 수술을 받을 정도로 보복을 당했고 그 가해자인 조현아는 오히려\n호텔 이사로 복귀했습니다. 아무리 유전무죄 무전유죄인 세상이라지만 이제 더이상은 이런 기업사주일가의 갑질을\n방조해서는 안됩니다.\n이런 일들은 이제 더는 있어서는 안되는 일입니다. 부디 대한항공 조현민 전무의 폭력죄 조사 및 엄벌을 청원합니다."
160572,2018-04-13,2018-05-13,21274,인권/성평등,밀양 강간사건에 대한 재수사를 간곡히 요청합니다.,"수고 많으십니다.\n인터넷 커뮤니티 사이트에서 시작되어\n인권운동으로 번져가고 있는 밀양 강간사건에 대한\n재수사 청원을 강력히 요청합니다.\n위 사건의.자세한 설명을 말씀드립니다.\n경상남도 밀양 지역 고교생 44명이, 밀양 여중생 1명을 집단성폭행 한 역대 가장 충격적인 사건 2004년 1월 중반부터 2004년 11월 말까지 대한민국 경상남도 밀양시 가곡동 등지에서 밀양공업고등학교, 밀양밀성고등학교, 밀양세종고등학교 3학년에 재학 중(당시 만 18세, 1986년생)이던 밀양시, 창원시 지역 거주 남학생들과 창원의 모 직업전문학교 학생(당시 만 18세, 1986년생) 등 115명에 의해 울산광역시 중구의 모 여중에 다니는 최모 양 자매(당시 14, 13, 울산시 중구)와 그들의 고종사촌인 창원시에 사는 노모 양(당시 16, 창원시 중앙동), 그외 창원시에 거주하는 모 여중생, 여고생 2명 등을 밀양으로 유인, 밀양시내 가곡동의 모 여인숙 등지에서 집단 성폭행, 구타, 공갈협박, 금품갈취해온 강도, 강간, 폭력 사건이다. 이들은 지역 일진으로 부르는 학생들로 일명 밀양연합이라는 유사 조직을 결성하여 활동하기도 했다. 가해자들은 모두 1986년생이다.\n저는 평범한 직장인이며,\n2년 전, 이 사건을 제대로 파고 들어보고자\n자비를 털어 일주일간 400여 만 원의 지출을\n사용하며 사건의 본거지로 가,\n사건을 파헤친 적이 있습니다.\n하지만 시간이 오래되어 그런지\n대부분의 사람들과 학교 관계자들이 쉬쉬하며,\n당시의 사건의 명확한 시작조차 해보지 못한채 포기하게 되었습니다.\n현재 조병근이라는 당시 강간사건의 가담자는\n술에 취해 기억이 나지 않는다는 이유로\n무죄를 받아 멀쩡히 사회생활을 하며 지내고 있습니다.\n피해자인 당시 여중생은 평생을 피고름으로 지내며,\n당시의 사건 자체를 설명할 수 없을만큼의\n충격상태에 빠져 시간이 지난 지금도\n그때의 충격에서 벗어나지 못하고 지내고 있습니다.\n이건 사람이 인두겁을 달고 태어나 할 짓이 아닙니다.\n부디 청원을 받아들여 재수사를 통해\n당시 어리다거나 술에 취했다는 이유로 무죄를 받은\n조병근외 43명에게 합당한 죗값을 받게 도와주십시오.\n마지막으로 조병근이라는 강간사건 가담자는\n인터넷 커뮤니티를 돌아다니며,\n밀양강간사건과 관련된 자료를 유포한 사람을 찾아\n고소를 해 벌금형을 받아 챙기는 사례가 끊이지 않습니다.\n소위 명예훼손을 시작으로  상대방을 고소해,\n벌금형으로 돈을 받아 챙기고 있습니다.\n부디 이런 일들이 더 이상 생기지 않도록\n국민청원 재수사를 비롯한 처벌을 간곡히 부탁드립니다."
